barcode,product_name,categories,ingredients_text,energy_kcal_100g,fat_100g,sugars_100g,proteins_100g,salt_100g,allergens
8901000000000,Food Product 0,Snacks,"Sugar, Wheat Flour, Palm Oil, Salt",61,4.0,34.72,16.78,0.3,nuts
8901000000001,Food Product 1,Cereals,"Sugar, Wheat Flour, Palm Oil, Salt",281,23.94,2.6,13.23,3.43,milk
8901000000002,Food Product 2,Frozen Foods,"Sugar, Wheat Flour, Palm Oil, Salt",192,22.1,39.92,20.5,3.14,nuts
8901000000003,Food Product 3,Dairy,"Sugar, Wheat Flour, Palm Oil, Salt",261,20.38,36.24,24.32,2.41,nuts
8901000000004,Food Product 4,Beverages,"Sugar, Wheat Flour, Palm Oil, Salt",189,4.57,28.67,6.5,0.62,gluten
8901000000005,Food Product 5,Frozen Foods,"Oats, Honey, Almonds",156,24.93,3.68,22.04,3.09,gluten
8901000000006,Food Product 6,Dairy,"Sugar, Wheat Flour, Palm Oil, Salt",215,25.82,23.99,4.97,1.1,gluten
8901000000007,Food Product 7,Beverages,"Oats, Honey, Almonds",502,10.96,14.14,6.07,0.34,gluten
8901000000008,Food Product 8,Cereals,"Sugar, Wheat Flour, Palm Oil, Salt",104,12.82,5.53,14.79,4.1,milk
8901000000009,Food Product 9,Cereals,"Water, Fruit Concentrate, Sugar",98,22.43,24.12,8.18,1.23,milk
8901000000010,Food Product 10,Snacks,"Rice, Spices, Vegetable Oil",176,12.99,28.86,4.59,1.18,gluten
8901000000011,Food Product 11,Cereals,"Milk, Cocoa, Sugar",203,16.49,5.08,20.9,1.54,gluten
8901000000012,Food Product 12,Dairy,"Sugar, Wheat Flour, Palm Oil, Salt",268,17.86,3.27,13.87,0.28,none
8901000000013,Food Product 13,Snacks,"Rice, Spices, Vegetable Oil",119,24.88,22.28,8.02,2.79,milk
8901000000014,Food Product 14,Cereals,"Milk, Cocoa, Sugar",116,21.62,11.87,5.49,3.9,nuts
8901000000015,Food Product 15,Cereals,"Milk, Cocoa, Sugar",206,25.63,3.22,10.33,0.69,gluten
8901000000016,Food Product 16,Dairy,"Rice, Spices, Vegetable Oil",388,18.23,16.56,3.98,1.97,milk
8901000000017,Food Product 17,Cereals,"Rice, Spices, Vegetable Oil",283,24.41,26.36,1.92,3.32,none
8901000000018,Food Product 18,Beverages,"Water, Fruit Concentrate, Sugar",133,29.94,13.8,19.83,1.73,none
8901000000019,Food Product 19,Dairy,"Oats, Honey, Almonds",312,14.28,21.93,21.15,0.74,nuts
8901000000020,Food Product 20,Cereals,"Milk, Cocoa, Sugar",223,5.25,3.55,20.02,4.94,gluten
8901000000021,Food Product 21,Snacks,"Rice, Spices, Vegetable Oil",406,22.79,12.76,5.99,2.54,nuts
8901000000022,Food Product 22,Dairy,"Rice, Spices, Vegetable Oil",96,23.09,23.37,21.45,4.42,gluten
8901000000023,Food Product 23,Frozen Foods,"Oats, Honey, Almonds",175,5.43,8.96,16.42,3.85,nuts
8901000000024,Food Product 24,Snacks,"Sugar, Wheat Flour, Palm Oil, Salt",76,1.82,35.16,13.76,4.42,gluten
8901000000025,Food Product 25,Frozen Foods,"Milk, Cocoa, Sugar",414,28.67,3.67,10.05,4.3,none
8901000000026,Food Product 26,Cereals,"Rice, Spices, Vegetable Oil",261,22.18,23.38,4.61,2.74,milk
8901000000027,Food Product 27,Dairy,"Milk, Cocoa, Sugar",489,5.02,15.16,15.91,4.93,milk
8901000000028,Food Product 28,Beverages,"Sugar, Wheat Flour, Palm Oil, Salt",382,9.88,32.9,24.7,0.75,nuts
8901000000029,Food Product 29,Frozen Foods,"Oats, Honey, Almonds",124,16.5,28.5,6.66,1.07,none
8901000000030,Food Product 30,Cereals,"Oats, Honey, Almonds",439,27.58,3.35,5.08,1.49,none
8901000000031,Food Product 31,Snacks,"Water, Fruit Concentrate, Sugar",336,20.85,18.98,3.03,0.94,nuts
8901000000032,Food Product 32,Dairy,"Sugar, Wheat Flour, Palm Oil, Salt",406,10.68,1.16,19.0,3.51,milk
8901000000033,Food Product 33,Dairy,"Sugar, Wheat Flour, Palm Oil, Salt",549,1.03,12.59,19.49,4.51,gluten
8901000000034,Food Product 34,Snacks,"Oats, Honey, Almonds",282,1.88,4.14,24.81,3.8,milk
8901000000035,Food Product 35,Frozen Foods,"Rice, Spices, Vegetable Oil",538,12.41,2.78,14.36,2.1,nuts
8901000000036,Food Product 36,Cereals,"Rice, Spices, Vegetable Oil",471,28.24,33.93,16.82,3.36,gluten
8901000000037,Food Product 37,Snacks,"Water, Fruit Concentrate, Sugar",485,29.58,15.15,6.29,3.17,none
8901000000038,Food Product 38,Snacks,"Water, Fruit Concentrate, Sugar",203,11.33,13.67,5.95,4.9,none
8901000000039,Food Product 39,Beverages,"Milk, Cocoa, Sugar",205,25.45,14.13,22.68,4.91,gluten
8901000000040,Food Product 40,Dairy,"Sugar, Wheat Flour, Palm Oil, Salt",277,21.66,13.79,0.61,4.85,milk
8901000000041,Food Product 41,Snacks,"Oats, Honey, Almonds",207,23.13,3.36,24.03,0.49,milk
8901000000042,Food Product 42,Cereals,"Sugar, Wheat Flour, Palm Oil, Salt",86,6.01,26.08,21.17,1.92,none
8901000000043,Food Product 43,Dairy,"Rice, Spices, Vegetable Oil",402,25.23,16.21,24.81,1.72,gluten
8901000000044,Food Product 44,Frozen Foods,"Rice, Spices, Vegetable Oil",181,4.73,16.35,5.3,1.3,milk
8901000000045,Food Product 45,Beverages,"Water, Fruit Concentrate, Sugar",52,12.56,1.12,14.39,0.11,gluten
8901000000046,Food Product 46,Snacks,"Oats, Honey, Almonds",233,19.44,16.17,15.89,2.17,nuts
8901000000047,Food Product 47,Snacks,"Rice, Spices, Vegetable Oil",307,15.22,20.91,20.44,2.34,milk
